frame,time,class,confidence,status,bbox
22,2.2,car,0.4123401343822479,Sai làn trái,"[15, 96, 32, 110]"
23,2.3,car,0.29632875323295593,Sai làn trái,"[13, 97, 29, 111]"
24,2.4,car,0.42808258533477783,Sai làn trái,"[9, 100, 26, 112]"
24,2.4,car,0.2780270278453827,Sai làn trái,"[9, 103, 25, 112]"
25,2.5,car,0.3861549198627472,Sai làn trái,"[6, 99, 24, 112]"
26,2.6,car,0.40998536348342896,Sai làn trái,"[1, 101, 20, 114]"
28,2.8,car,0.32786136865615845,Sai làn trái,"[0, 102, 13, 116]"
